,external_gene_name,count,ate,ate_mean,95_C.I._min,95_C.I._max
ENSG00000224397.4,PELATON,180.0,5.3148708328253536,5.356868658450406,2.6544037853816005,8.145248679329558
ENSG00000100284.19,TOM1,180.0,5.20759327511308,4.642157789064968,1.290944050818518,8.174589358765962
ENSG00000124198.8,ARFGEF2,180.0,5.155383909948187,4.932165945266237,1.096157654922079,8.919243657382358
ENSG00000141664.8,ZCCHC2,180.0,4.888972420855004,,,
ENSG00000139629.14,GALNT6,180.0,4.772965759266612,,,
ENSG00000170909.12,OSCAR,180.0,4.73427736184443,,,
ENSG00000106683.13,LIMK1,180.0,4.600357078678901,,,
ENSG00000122378.12,PRXL2A,180.0,4.576497841251372,,,
ENSG00000100997.17,ABHD12,180.0,4.572602736614132,,,
ENSG00000128604.17,IRF5,180.0,4.538781769082113,,,
ENSG00000130559.17,CAMSAP1,180.0,4.433520589678046,,,
ENSG00000160211.14,G6PD,180.0,4.405711210670534,,,
ENSG00000140379.7,BCL2A1,180.0,4.319722034945776,,,
ENSG00000090487.9,SPG21,180.0,4.240863631427259,,,
ENSG00000103066.11,PLA2G15,180.0,4.115547616495789,,,
ENSG00000188089.12,PLA2G4E,180.0,3.9793003028537215,,,
ENSG00000181045.13,SLC26A11,180.0,3.9560343128798383,,,
ENSG00000164687.9,FABP5,180.0,3.9199890359686345,,,
ENSG00000111424.9,VDR,180.0,3.907645024206588,,,
ENSG00000130204.11,TOMM40,180.0,3.90583652282233,,,
ENSG00000063438.15,AHRR,180.0,3.7628913838519003,,,
ENSG00000156711.15,MAPK13,180.0,3.7494770579175016,,,
ENSG00000108932.10,SLC16A6,180.0,3.6205519353073954,,,
ENSG00000134668.11,SPOCD1,180.0,3.6139296672277434,,,
ENSG00000184730.9,APOBR,180.0,3.609337470223717,,,
ENSG00000119514.6,GALNT12,180.0,3.572531226323482,,,
ENSG00000182117.5,NOP10,180.0,3.5437669239039646,,,
ENSG00000090674.14,MCOLN1,180.0,3.53720528682392,,,
ENSG00000164935.5,DCSTAMP,180.0,3.4273100589001957,,,
ENSG00000185436.10,IFNLR1,180.0,3.4116580487532504,,,
ENSG00000147614.3,ATP6V0D2,180.0,3.286448710170616,,,
ENSG00000258227.5,CLEC5A,180.0,3.2149903578261063,,,
ENSG00000163719.17,MTMR14,180.0,3.211666882222293,,,
ENSG00000115008.5,IL1A,180.0,3.1523989945737028,,,
ENSG00000169026.11,SLC49A3,180.0,3.0766430908632,,,
ENSG00000076944.13,STXBP2,180.0,3.030420251955396,,,
ENSG00000102393.8,GLA,180.0,2.861619758984837,,,
ENSG00000128524.4,ATP6V1F,180.0,2.5852909390519767,,,
ENSG00000232973.10,CYP1B1-AS1,180.0,2.4250136889367337,,,
ENSG00000196072.10,BLOC1S2,180.0,2.341252729403104,,,
ENSG00000167977.7,KCTD5,180.0,2.327092891345168,,,
ENSG00000128973.10,CLN6,180.0,2.275157530757448,,,
ENSG00000248318.1,AC104958.1,180.0,2.2685509508013384,,,
ENSG00000167850.3,CD300C,180.0,2.2507365254290326,,,
ENSG00000143355.14,LHX9,180.0,2.2086800060554412,,,
ENSG00000006016.9,CRLF1,180.0,2.2086486764175484,,,
ENSG00000141497.12,ZMYND15,180.0,2.1860321997554837,,,
ENSG00000116675.14,DNAJC6,180.0,2.1693689089719066,,,
ENSG00000109066.12,TMEM104,180.0,2.156860211917325,,,
ENSG00000101194.16,SLC17A9,180.0,2.1018920964751633,,,
ENSG00000177301.12,KCNA2,180.0,2.0648045604238328,,,
ENSG00000173599.12,PC,180.0,1.9877165582973686,,,
ENSG00000133246.10,PRAM1,180.0,1.8543098836300493,,,
ENSG00000154165.4,GPR15,180.0,1.8135055521729562,,,
ENSG00000095209.10,TMEM38B,180.0,1.7865254569954487,,,
ENSG00000183044.10,ABAT,180.0,1.7383698023697731,,,
ENSG00000088538.12,DOCK3,180.0,1.7347890949763212,,,
ENSG00000129450.7,SIGLEC9,180.0,1.7159392041914259,,,
ENSG00000069812.10,HES2,180.0,1.6844259070478993,,,
ENSG00000226673.1,LINC01108,180.0,1.6762342670682036,,,
ENSG00000142655.11,PEX14,180.0,1.6563366354546725,,,
ENSG00000236700.4,LINC01010,180.0,1.5505189264598083,,,
ENSG00000137976.7,DNASE2B,180.0,1.4291561778185151,,,
ENSG00000100344.9,PNPLA3,180.0,1.3680178955997695,,,
ENSG00000111181.11,SLC6A12,180.0,1.3665442795559293,,,
ENSG00000227036.5,LINC00511,180.0,1.352041997206596,,,
ENSG00000161642.16,ZNF385A,180.0,1.2581264514019403,,,
ENSG00000104205.11,SGK3,180.0,1.2414955469583677,,,
ENSG00000244482.8,LILRA6,180.0,1.164125823135565,,,
ENSG00000158477.6,CD1A,180.0,1.1521881217353045,,,
ENSG00000187840.4,EIF4EBP1,180.0,1.1472216436970828,,,
ENSG00000171658.7,NMRAL2P,180.0,1.1123035219779283,,,
ENSG00000126106.12,TMEM53,180.0,1.1101180094526657,,,
ENSG00000140505.6,CYP1A2,180.0,1.0740358474166731,,,
ENSG00000143105.6,KCNA10,180.0,0.9991020133066807,,,
ENSG00000148803.10,FUOM,180.0,0.974802073218918,,,
ENSG00000225026.1,AC091492.1,180.0,0.8886361669566735,,,
ENSG00000141505.10,ASGR1,180.0,0.8271960682862921,,,
ENSG00000167105.6,TMEM92,180.0,0.7490814422055108,,,
ENSG00000129824.14,RPS4Y1,180.0,0.7086827853493222,,,
ENSG00000177602.5,HASPIN,180.0,0.706227620803359,,,
ENSG00000177465.4,ACOT4,180.0,0.6791937446251721,,,
ENSG00000226608.3,FTLP3,180.0,0.6784546182289308,,,
ENSG00000262406.2,MMP12,180.0,0.6741113297542913,,,
ENSG00000250290.1,NCAPGP1,180.0,0.6675364669960024,,,
ENSG00000166866.11,MYO1A,180.0,0.6152598551902532,,,
ENSG00000184408.8,KCND2,180.0,0.5859948660427291,,,
